                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.30332,                0.44346,                0.82285,                0.52913,                0.15341,                0.17456,                0.09777,                  2.127,                 4.0217,                  2.221,                0.00505,                0.00505,                0.00505
                     52,                0.30759,                0.46077,                0.82782,                0.62007,                0.17476,                0.21349,                0.10055,                 2.2978,                 4.0665,                 2.3709,               0.004951,               0.004951,               0.004951
                     53,                0.29509,                0.41675,                0.81558,                0.57143,                0.13068,                0.22274,                0.10326,                 2.1993,                 4.3277,                 2.3342,               0.004852,               0.004852,               0.004852
                     54,                0.29193,                0.41751,                0.82065,                0.48672,                0.14729,                0.16749,                0.08849,                 2.2956,                 4.6258,                 2.3461,               0.004753,               0.004753,               0.004753
                     55,                0.29542,                0.40197,                0.80977,                0.59712,                0.23864,                0.24264,                0.11225,                 2.2875,                  4.016,                 2.4372,               0.004654,               0.004654,               0.004654
                     56,                0.29353,                0.41173,                 0.8152,                0.76116,                0.18466,                 0.1987,                0.10968,                 2.1213,                 4.3246,                  2.303,               0.004555,               0.004555,               0.004555
                     57,                0.29199,                0.40022,                0.81887,                0.41913,                0.11648,                  0.128,                0.07233,                 2.3036,                 4.3353,                 2.3804,               0.004456,               0.004456,               0.004456
                     58,                0.28135,                0.40893,                0.81533,                0.60527,                0.13466,                0.15327,                0.09683,                 2.3321,                 4.5054,                 2.3146,               0.004357,               0.004357,               0.004357
                     59,                0.26659,                0.39588,                 0.8172,                0.33467,                0.10293,                0.08384,                0.05297,                  2.342,                 4.6391,                  2.377,               0.004258,               0.004258,               0.004258
                     60,                0.28227,                0.39103,                0.81383,                0.78196,                 0.1392,                0.15829,                0.07531,                 2.4358,                  4.399,                 2.3005,               0.004159,               0.004159,               0.004159
                     61,                0.26818,                0.37209,                0.81032,                0.56261,                0.12301,                0.15061,                0.08817,                 2.3111,                 4.7185,                 2.1581,                0.00406,                0.00406,                0.00406
                     62,                0.26804,                0.37309,                0.81912,                0.74001,                0.21585,                0.31602,                0.16854,                 2.1439,                 4.1962,                 2.1636,               0.003961,               0.003961,               0.003961
                     63,                0.26979,                0.38713,                0.80582,                0.85273,                0.13842,                0.18254,                0.10591,                 2.1157,                 4.2114,                 2.1591,               0.003862,               0.003862,               0.003862
                     64,                0.27181,                 0.4054,                0.81502,                0.57126,                 0.1392,                 0.1624,                 0.0869,                 2.4328,                 4.2738,                 2.3205,               0.003763,               0.003763,               0.003763
                     65,                0.26385,                0.37523,                0.81982,                  0.492,                0.18466,                0.16531,                0.11287,                 2.1128,                 4.4463,                 2.1531,               0.003664,               0.003664,               0.003664
                     66,                0.27062,                0.38276,                0.81092,                0.49436,                0.16193,                0.17132,                0.12595,                 2.0839,                 4.4282,                 2.2379,               0.003565,               0.003565,               0.003565
                     67,                0.24521,                0.36946,                0.80547,                0.71993,                 0.0767,                0.07709,                0.05727,                 2.1982,                 4.9025,                 2.1672,               0.003466,               0.003466,               0.003466
                     68,                0.25619,                0.37343,                0.81082,                0.78313,                0.05398,                0.05835,                0.03495,                 2.5406,                 4.9079,                 2.3328,               0.003367,               0.003367,               0.003367
                     69,                0.25099,                0.35957,                0.81007,                0.77618,                0.10677,                0.12938,                0.07058,                 2.2549,                 4.6494,                 2.1806,               0.003268,               0.003268,               0.003268
                     70,                0.25586,                0.34093,                0.81024,                0.36756,                0.08817,                0.09651,                0.06064,                 2.1228,                 5.0245,                 2.1644,               0.003169,               0.003169,               0.003169
                     71,                0.24921,                0.35221,                0.80466,                0.60825,                0.11649,                0.14552,                0.09537,                 2.2146,                 4.8457,                 2.2104,                0.00307,                0.00307,                0.00307
                     72,                0.24854,                0.34542,                0.80558,                0.56628,                 0.1297,                 0.1353,                0.08936,                 2.1942,                 4.5653,                 2.2283,               0.002971,               0.002971,               0.002971
                     73,                0.24636,                0.31494,                0.80357,                0.66764,                0.09184,                 0.1221,                0.09028,                 2.1679,                 4.7435,                  2.209,               0.002872,               0.002872,               0.002872
                     74,                0.25021,                0.34248,                0.80633,                0.63989,                0.13865,                0.14815,                0.08826,                  2.002,                  4.411,                 2.0414,               0.002773,               0.002773,               0.002773
                     75,                0.24552,                0.32967,                0.81102,                0.53888,                0.15278,                0.14589,                0.09487,                 1.9952,                 4.5313,                 2.1269,               0.002674,               0.002674,               0.002674
                     76,                0.23831,                0.31686,                0.80288,                0.53591,                0.11648,                0.12249,                0.07789,                 2.1073,                 5.2058,                 2.1605,               0.002575,               0.002575,               0.002575
                     77,                0.23201,                0.30483,                0.80058,                 0.5613,                0.11015,                0.11795,                0.07385,                 2.0607,                 4.9694,                 2.1302,               0.002476,               0.002476,               0.002476
                     78,                0.22673,                0.32031,                0.81515,                0.82922,                0.16193,                0.17076,                0.10949,                 2.0715,                  4.508,                 2.1853,               0.002377,               0.002377,               0.002377
                     79,                0.23032,                0.32446,                0.81075,                0.73729,                0.15964,                0.15823,                0.10484,                 1.9896,                 4.6055,                 2.1166,               0.002278,               0.002278,               0.002278
                     80,                0.22341,                0.30127,                0.79637,                0.72217,                0.12585,                0.16661,                0.10465,                 2.0004,                 4.7537,                 2.1573,               0.002179,               0.002179,               0.002179
                     81,                0.22472,                0.30138,                0.80139,                 0.8039,                0.17874,                0.20008,                0.11809,                 2.0492,                 4.4881,                  2.176,                0.00208,                0.00208,                0.00208
                     82,                0.22309,                0.28894,                0.79961,                0.62441,                0.16193,                0.18316,                0.10876,                 2.1885,                 4.5667,                 2.3213,               0.001981,               0.001981,               0.001981
                     83,                0.21441,                0.29216,                   0.81,                0.65807,                0.15078,                0.18034,                0.10458,                 2.2176,                 4.5664,                 2.3682,               0.001882,               0.001882,               0.001882
