                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.285,                0.76269,                0.88739,                0.76428,                0.80102,                 0.8209,                0.36978,                 1.8053,                0.98713,                0.99163,               0.009109,               0.009109,               0.009109
                     47,                 1.3058,                0.77157,                0.87888,                0.72178,                0.75448,                0.78562,                0.39091,                 1.7488,                0.91511,                0.98006,              0.0090892,              0.0090892,              0.0090892
                     48,                  1.278,                0.75711,                0.88039,                0.87328,                0.73835,                 0.8336,                0.39697,                 1.6901,                0.93298,                0.97657,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2956,                 0.7602,                0.89037,                0.77412,                0.66327,                0.75755,                0.38288,                 1.7522,                0.99224,                0.99484,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2902,                0.75906,                0.88468,                0.77489,                0.75518,                0.80937,                0.38321,                 1.7804,                0.92946,                0.98166,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2438,                0.74339,                 0.8775,                0.86476,                0.71775,                0.82295,                0.39936,                 1.7557,                0.85877,                0.98955,                0.00901,                0.00901,                0.00901
                     52,                 1.2762,                0.76065,                0.87607,                0.83188,                0.78571,                0.81917,                0.42084,                 1.6985,                0.87633,                0.97308,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2521,                0.73683,                0.87632,                0.85102,                0.73469,                0.83565,                0.40547,                 1.7135,                0.86647,                 0.9741,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.2688,                0.75182,                0.87962,                  0.778,                0.80612,                 0.8291,                0.41968,                 1.6879,                0.84777,                0.96625,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2473,                0.74254,                0.87267,                 0.8286,                0.76463,                0.82345,                0.41797,                 1.6528,                0.91184,                0.96217,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2173,                 0.7101,                0.87003,                 0.8223,                0.71429,                0.81295,                0.42188,                 1.6183,                0.88774,                0.96927,               0.008911,               0.008911,               0.008911
                     57,                 1.2085,                0.72134,                0.87155,                0.86642,                0.72804,                0.82069,                0.40606,                 1.6724,                0.92371,                0.97776,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2419,                0.73283,                0.87847,                0.83648,                0.77041,                0.82719,                0.41399,                 1.6696,                0.86779,                 0.9847,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.2279,                 0.7182,                0.86966,                0.79457,                0.73469,                0.80137,                0.39936,                 1.7062,                0.88273,                0.99369,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.2074,                0.70644,                0.87144,                0.80153,                 0.7602,                0.83625,                0.41557,                 1.6899,                0.86331,                0.97506,              0.0088318,              0.0088318,              0.0088318
                     61,                  1.246,                0.73128,                0.87258,                0.84497,                0.78571,                0.84774,                0.41483,                 1.7174,                0.89149,                0.97776,               0.008812,               0.008812,               0.008812
                     62,                 1.2839,                0.75649,                0.87173,                0.80566,                0.80102,                0.83705,                0.41146,                 1.6591,                0.89797,                0.95662,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.2337,                0.71969,                0.87393,                0.81546,                0.76652,                0.84931,                0.41931,                 1.6541,                0.83571,                0.96224,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.2062,                0.71091,                0.87094,                0.79121,                0.77338,                0.82324,                0.40277,                 1.7161,                 0.8924,                0.97441,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.2182,                0.70581,                0.88087,                0.79788,                0.82575,                0.85961,                0.44051,                  1.631,                0.81295,                0.96053,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.2446,                0.72247,                0.87449,                0.83671,                0.81042,                0.87595,                 0.4516,                 1.6277,                0.78601,                0.96103,               0.008713,               0.008713,               0.008713
                     67,                 1.2331,                0.71577,                0.86793,                0.79301,                0.76531,                0.83538,                0.39167,                 1.7527,                0.86874,                0.98654,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.2267,                0.70033,                0.87777,                0.85648,                0.71429,                 0.8209,                0.42732,                 1.6481,                0.84747,                0.96812,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.2515,                0.71324,                0.87148,                0.79433,                0.79592,                0.85592,                0.43615,                 1.6238,                0.83795,                0.94561,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.2387,                0.71045,                0.87246,                0.84773,                 0.7398,                0.83598,                0.42981,                 1.6601,                0.82782,                0.97609,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.2031,                0.69677,                 0.8654,                0.80114,                0.76051,                0.82438,                0.42648,                 1.6237,                0.87128,                0.95227,               0.008614,               0.008614,               0.008614
                     72,                  1.195,                0.69122,                0.87257,                0.86018,                 0.7551,                0.84606,                 0.4362,                 1.6479,                0.89733,                0.94956,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.1922,                0.69767,                  0.868,                0.81076,                0.76507,                0.82619,                0.42461,                 1.6304,                0.86135,                0.94986,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.1968,                0.69636,                0.86312,                0.88081,                0.75409,                0.85978,                0.42964,                 1.6432,                0.82021,                0.96001,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.1933,                0.68446,                0.85945,                0.87804,                0.77135,                0.85375,                0.42453,                 1.6239,                0.83383,                0.94273,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1932,                0.69089,                0.87169,                0.80996,                0.78285,                  0.823,                0.41613,                 1.6137,                 0.8551,                0.94829,               0.008515,               0.008515,               0.008515
                     77,                 1.1762,                0.68963,                 0.8639,                  0.831,                0.75261,                0.82564,                0.39653,                  1.686,                 0.8601,                0.96503,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.1678,                0.67556,                0.86696,                0.79033,                0.76928,                0.82074,                0.41074,                 1.6263,                0.85132,                0.96498,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.1837,                0.68137,                0.86584,                0.84154,                0.77041,                0.83921,                0.42901,                 1.6414,                0.78402,                0.95457,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1777,                0.68042,                0.86946,                0.87372,                0.79592,                0.86436,                0.41729,                 1.6303,                0.83391,                0.94826,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1725,                0.67814,                0.86217,                0.84442,                0.81633,                0.86389,                0.43069,                 1.6373,                 0.8028,                 0.9589,               0.008416,               0.008416,               0.008416
                     82,                 1.1605,                0.65847,                  0.861,                0.86145,                0.76134,                0.82854,                0.42945,                 1.6115,                0.83279,                0.95795,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1881,                0.68054,                0.86659,                0.82903,                0.83163,                0.86724,                 0.4443,                 1.5866,                0.81183,                0.93767,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1818,                0.67821,                0.86428,                0.81043,                0.83163,                0.85835,                0.44254,                 1.6038,                0.78654,                0.94032,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.1686,                0.66469,                0.85669,                0.90457,                0.77375,                0.87282,                0.45597,                 1.5766,                0.78469,                0.93559,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1775,                0.67862,                0.85887,                 0.8695,                0.80612,                0.86834,                0.46103,                 1.5517,                0.76739,                0.93205,               0.008317,               0.008317,               0.008317
                     87,                 1.1437,                0.65575,                0.85465,                0.85917,                0.82143,                0.86275,                0.43633,                 1.6144,                 0.8091,                 0.9493,              0.0082972,              0.0082972,              0.0082972
